episode,eps_0p05,eps_0p1,eps_0p3,eps_0p5
142,45.890402,43.855562,32.415746,26.416215
143,43.525260,51.547284,37.657294,22.375382
144,49.648422,45.890296,37.226530,16.510785
145,50.121089,49.844720,41.832752,17.569828
146,56.627642,50.928834,37.962831,19.098997
147,55.399937,45.255825,43.331315,21.752291
148,52.980081,43.748770,35.462857,14.597743
149,47.917138,46.851595,35.958099,22.526572
150,49.763562,47.910026,35.922906,13.950361
151,48.067305,46.120008,39.295692,20.460558
152,52.068238,46.552693,40.450468,16.687757
153,45.049710,46.931999,39.875313,23.976996
154,51.984878,47.447866,33.373850,15.536192
155,54.652704,53.421067,39.682217,20.247235
156,47.698742,43.386116,33.315731,17.932418
157,47.832822,43.472392,32.823284,21.520511
158,47.780053,48.080140,35.723435,23.413200
159,45.708671,44.822720,29.927249,17.063167
160,48.959176,46.984933,28.812796,29.839542
161,48.294312,44.608574,40.556451,15.271371
162,52.419141,46.420977,33.866153,22.765176
163,50.989356,45.276860,33.790598,17.813636
164,51.781325,50.961450,37.182944,22.934604
165,50.839062,49.210301,30.739144,16.639322
166,48.870302,52.259104,35.671801,15.526488
167,50.908539,51.563175,37.237716,21.674631
168,49.435784,46.096609,37.143963,12.959482
169,56.670032,50.934144,38.800536,18.543842
170,50.485228,42.803813,34.281775,25.936143
171,51.216617,51.370647,32.477649,20.169764
172,43.153450,48.388494,39.351322,13.141029
173,52.165231,51.576040,32.391366,9.928418
174,52.903783,48.141900,32.789950,21.203571
175,45.148555,50.929760,40.751551,24.017027
176,49.381314,53.742912,31.822762,11.220720
177,51.587240,51.447368,40.163484,18.519439
178,53.397298,49.503370,33.390605,18.757558
179,51.838218,52.063389,34.900303,12.306582
180,48.456601,44.407391,39.170699,27.691835
181,45.146877,50.909925,33.985118,24.703884
182,48.748909,45.969789,31.683844,17.604905
183,46.427320,53.506401,29.563611,15.574502
184,49.526494,43.939106,37.805903,17.167978
185,49.938027,48.460694,45.049711,12.029829
186,50.354708,46.514189,36.342922,18.632282
187,47.253207,53.889739,37.373897,29.573529
188,51.017546,48.614570,33.774689,18.906546
189,49.754568,45.273776,29.259977,13.888679
190,55.669298,43.728084,37.199336,17.683308
191,49.253507,52.850607,37.190326,23.011093
192,49.158981,46.621701,35.295223,18.275552
193,48.914489,45.781759,36.037956,15.606235
194,53.522905,48.648197,39.666471,17.346813
195,48.056950,46.234082,35.757572,17.565085
196,48.994113,51.986906,39.169744,13.239407
197,49.928765,46.491426,37.303367,22.124991
198,49.552696,45.048347,32.971165,20.248191
199,51.917783,48.672386,27.368554,11.452660
